canonicalsmiles,lc50
C=CCN=C=S,0.86166136
CC1=CC(=O)C2=CC=CC=C2C1=O,4.965725442
C1=CC=C(C=C1)C(=O)CBr,0.298497338
C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])F,3.6286608
C=CS(=O)(=O)C=C,4.59695955
CCC(C)(C)C1=CC=C(C=C1)O,9.671168196
C1=CC=C(C=C1)C2=CC=CC=C2[N+](=O)[O-],9.983645096
C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O,2.266579552
C1(=C(C(=C(C(=C1Cl)Cl)O)Cl)Cl)O,1.924316159
C1=C(C=C(C(=C1Cl)O)Cl)Cl,7.679754699
CC(C)(C)C1=CC=CC=C1O,7.70420371
C1=CC(=C(C=C1Cl)[N+](=O)[O-])O,1.316511685
CC1=CC(=C(C=C1Cl)C(C)C)O,2.608392431
C1=C(C=C(C(=C1C=O)O)Br)Br,6.266402896
C1=C(C=C(C(=C1C=O)O)Cl)Cl,5.383390758
C1=CC=C(C=C1)C2=CC=C(C=C2)O,6.934021305
C1=CC=C2C(=C1)N=C3C=CC=CC3=N2,7.173889562
C1=CC=C(C=C1)C(=O)OC2=CC=CC=C2,8.854164202
C1=CC=C(C=C1)COC(=O)C2=CC=C(C=C2)O,6.43267424
CCCCOC(=O)C1=CC=C(C=C1)O,9.084821741
CC1=C(C=CC(=C1)O)O,1.713608632
C1=CC(=C(C=C1N)Cl)Cl,6.911016375
C1=CC(=C(C=C1O)Cl)Cl,2.898595438
C1=C(C(=CC(=C1Cl)Cl)Cl)Cl,2.159
C1=C(C(=CC(=C1Cl)Cl)Cl)O,1.568004296
C1=CC(=C(C=C1Cl)CC2=C(C=CC(=C2)Cl)O)O,0.218748848
C1=CC(=CC=C1[N+](=O)[O-])O,5.288813474
C1=CC(=CC=C1CBr)[N+](=O)[O-],1.058069427
C1=CC(=CC=C1[N+](=O)[O-])[N+](=O)[O-],8.425454704
C1=CC=C(C=C1)N=C=S,5.259503737
CCCCCCCCCC1=CC=C(C=C1)O,0.746643442
CCCCC1=CC=CC=C1,7.547745267
CCOC(=O)CBr,0.350522961
C=CC=O,0.722192865
C1=CC=C(C=C1)S,2.410476867
CCCCCCCCCC(=O)OC,7.801708917
CCCCCCCCBr,2.605117719
CCCCCCCCCC(=O)C,4.96808875
CCCCCCCCCCOC(=O)C,2.640731291
CCCCCCCCCN,2.852036379
CCCCCCCCCCO,7.318566807
CCCCCCCCCCCO,1.911219564
CCCCCCCCCCC=O,3.476874745
C1=CC=C(C=C1)OP(=O)(OC2=CC=CC=C2)OC3=CC=CC=C3,5.053789791
C1=C(C(=C(C(=C1Cl)Cl)[N+](=O)[O-])Cl)Cl,3.948864343
C1=CC=C2C(=C1)C(=O)C(=C(C2=O)Cl)Cl,0.099106532
C1=C(C=C(C(=C1Br)O)Br)Br,4.069730968
C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,7.530562841
CC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C,3.57365855
C1=CC=C2C(=O)C=CC(=O)C2=C1,1.5815
C1=CC=C(C=C1)C(=O)C2=C(C=C(C=C2)O)O,9.138188556
COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O,8.677440784
CC1=CC=CC=C1C(=O)C2=CC=CC=C2,8.371198405
C1=CC=C2C(=C1)C3=CC=CC=C3O2,6.394403984
C1=CC=C(C=C1)OC(=O)C2=C(C=C(C=C2)N)O,8.918085966
CCCCCCC1=C(C=C(C=C1)O)O,3.078970587
C(C(=O)N)I,2.588676116
C1=CC=C2C(=C1)C=CC3=C2N=CC=C3,8.777818022
C1=CC=C2C(=C1)C=C3C=CC=CC3=N2,7.134875068
C1=C(C=C(C(=C1I)O)I)[N+](=O)[O-],6.054325557
C1=C(C(=C(C(=C1F)F)F)[N+](=O)[O-])F,2.631422501
C1=C(C=C(C(=C1[N+](=O)[O-])O)F)Br,5.661007109
C1=C(C(=CC(=C1[N+](=O)[O-])F)F)[N+](=O)[O-],1.697547071
C1=C(C(=CC(=C1F)[N+](=O)[O-])[N+](=O)[O-])N,4.106138235
C1=CC(=C(C=C1F)[N+](=O)[O-])O,6.549016506
CCCCCCC(=O)CCCCCC,5.975997524
C1=CC(=C2C(=O)C=CC(=O)C2=C1O)O,0.281252525
C1=CC2=C(C(=O)C=CC2=O)C(=C1)O,0.081456094
CC1=CC(=O)C2=C(C1=O)C=CC=C2O,1.187336078
C1=CC=C2C(=C1)C=CC(=O)C2=O,0.09978595
C1=CC=C(C=C1)C2=CC(=O)C3=CC=CC=C3O2,8.646143284
CC1=C(C(=C(C(=C1O)C)C)O)C,8.723345587
C1=CC=C(C(=C1)[N+](=O)[O-])[N+](=O)[O-],9.453520018
C(C(=O)CCl)Cl,1.142092079
CC1=CC(=CC(=C1O)[N+](=O)[O-])[N+](=O)[O-],3.689353244
CCCCCC1=CC=CC=C1,2.404171288
CCN=C=S,2.057157254
C1=CC=C2C(=C1)C=CC=C2N=C=S,1.351319727
C([N+](=O)[O-])Br,3.220637679
CC1=CC=C(C2=CC=CC=C12)C,5.804126022
C1=CC(=C(C(=C1)Cl)Cl)O,8.554357663
CC1=C(C(=C(C(=C1Br)Br)Br)Br)O,1.140456602
C1=CC(=C(C=C1O)Br)O,3.948980435
C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Br,1.209753962
C1=C(C=C(C=C1Cl)Cl)O,4.48939382
CCCCN=C=S,2.19004117
CCCCCCCCCCCC(=O)C,1.508031138
C1=CC=C2C(=C1)C=CC(=C2O)[N+](=O)[O-],8.257568097
CC1=C(C=CC(=C1C)O)O,5.375050199
C1(=C(C(=C(C(=C1Br)Br)Br)Br)Br)O,1.068918944
CCOC(=O)C(C(C)Br)Br,9.992429774
C1=C(C=C(C(=C1I)O)I)I,1.008690282
C1=C(C=C(C(=C1[N+](=O)[O-])O)Cl)Cl,3.698821173
CC1=CC(=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],5.500238068
C1=CC(=C(C=C1O)[N+](=O)[O-])Cl,9.320186826
C1=CC=C2C=C(C=CC2=C1)C(=O)CBr,0.273762292
C1=CC=C(C=C1)OC(=O)CBr,1.805173924
C1=CC=C(C=C1)OC2=CC=C(C=C2)[N+](=O)[O-],5.660338022
C1=CC=C(C=C1)CN=C=S,0.27151769
CCOC(=O)CI,0.256692851
CCCN=C=S,2.051407552
CCCCCCCBr,5.835735315
CCCCCN=C=S,2.543080359
CCOC(=O)C(C(=O)OCC)(Br)Br,2.319382566
C1=CC(=C(C(=C1N)Cl)Cl)Cl,8.777334607
CC1=CC=C(C=C1)C2=CC=CC=C2,3.680473075
C(C(=O)N)Br,4.137646517
CCOC(=O)C(C(=O)OCC)Br,1.457158235
CCCCC(CC)COC(=O)C(=C)C,5.337311058
C1=CC=C2C(=C1)C=CC(=C2C=O)O,8.241049134
C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])I,2.230218584
C1(=C(C(=C(C(=C1F)F)F)F)F)O,4.314786564
C1(=C(C(=C(C(=C1F)F)O)F)F)O,2.631710979
C1=CC(=C(C(=C1[N+](=O)[O-])F)F)F,2.281232831
CC(C(=O)C)Br,2.11337637
CCC(=O)CBr,0.377551976
COC1=C(C=CC(=C1)O)O,0.88422403
C1=C(C(=CC(=C1Cl)O)Cl)O,2.772382386
C1=C(C=C(C(=C1[N+](=O)[O-])N)Br)Br,7.098628008
C=CC1=CC2=CC=CC=C2C=C1,8.87386336
C1=CC=C(C=C1)OC2=CC=C(C=C2)O,8.128359441
C1=CC=C(C=C1)NC2=CC=C(C=C2)[N+](=O)[O-],2.759688825
C1=CC=C(C=C1)C2=CC(=O)C(=CC2=O)C3=CC=CC=C3,8.619343092
C1=C(C=C(C(=C1Br)N)Br)Cl,8.617734229
C1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)[N+](=O)[O-],4.329843652
C1(=C(C(=C(C(=C1F)F)F)F)F)[N+](=O)[O-],0.791593324
C1=C(C(=C(C(=C1Cl)Cl)O)Cl)Cl,1.397336324
C1=CC=C(C=C1)C(=O)C2=CC(=CC=C2)Cl,6.106305647
CCCCC(=C)C=O,9.547210978
C1=CC=C(C=C1)C2=C(C=CC(=C2)O)O,1.819712591
CC(C)(C)C1=CC(=CC(=C1)O)C(C)(C)C,4.72651923
C1=CSC=C1C(=O)CBr,1.235669512
COC(=O)CCCCCCCCCCCC(=O)OC,6.041926191
C=CN1C2=CC=CC=C2C3=CC=CC=C31,1.111980647
CCC(=O)C=C,2.540383387
CCCC(=O)C=C,2.147070247
CCCCCCCCCC(C)O,4.53221582
CCCCCCCCCCCC(C)O,1.354599538
CCCCCCC(=O)C1=CC=CC=C1,5.240747583
CCCCCCCC(=O)C1=CC=CC=C1,2.632023265
C1=CC=C(C=C1)N=NC2=CC=C(C=C2)O,4.336583088
CC(=O)C(C(=O)C)Cl,4.840789283
CCCCCCCCCCC(=O)OC,7.528771416
CCCCCCCCCCN,1.382701782
CCCCCOC(=O)C1=CC=CC=C1,8.200993137
C1=CC=C(C=C1)C2=CC(=CC=C2)[N+](=O)[O-],5.36153486
C1(=C(C(=NC(=C1Cl)Cl)Cl)Cl)Cl,4.899959479
C=CC(=O)OC=C,3.729657119
C1=CC=C(C=C1)CCN=C=S,0.472962258
CC(C)(C)C1=CC(=CC(=C1)N)C(C)(C)C,7.45544306
CC1=CC(=C(C=C1)O)C(C)(C)C,8.231495334
C1=CC=C(C=C1)C2=C(C(=CC=C2)C3=CC=CC=C3)O,1.898735682
C=CC(=O)OCC1=CC=CC=C1,7.244316166
C1=C(C=NC(=C1[N+](=O)[O-])Cl)[N+](=O)[O-],0.466283309
CC1=C(C=CC(=C1)O)[N+](=O)[O-],2.851600241
C1=CC=C(C=C1)CCCN=C=S,0.51361198
C1=C(C=C(C(=C1C=O)O)I)I,1.709097663
C1=C(C(=C(C(=C1Cl)Cl)[N+](=O)[O-])Cl)[N+](=O)[O-],0.681726134
CC1=C(C=CC(=C1)N)O,6.031627549
CC1=C(C=CC(=C1C)O)N,4.980703608
C1=C(C=C(C(=C1Cl)O)Cl)Br,4.014372922
C1=C(C(=C(C(=C1Cl)Cl)N)Cl)Cl,4.012580266
C1=CC=C(C=C1)C(C2=CC=CC=C2)N=C=S,0.200345858
CCOC(=O)C(CBr)Br,1.610050501
C1=C(C(=CC(=C1[N+](=O)[O-])Cl)Cl)[N+](=O)[O-],0.451575344
C1=CC(=CC=C1N=C=S)N=C=S,0.086492646
CC(C)(C)C1=CC(=C(C(=C1)[N+](=O)[O-])O)[N+](=O)[O-],3.807070184
CCCCCC(=O)C=C,1.517257367
C1=NC(=C(C(=N1)Cl)[N+](=O)[O-])Cl,1.471413261
CCCCCCN=C=S,2.547385255
C1=C(SC(=C1)[N+](=O)[O-])C=O,1.645562513
C1=CC=C2C(=C1)C=C(C3=CC=CC=C23)C=O,4.039919394
CCCCCC1=CC=CS1,9.733783436
C1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)O,0.441876544
CCCCC(CC)COC(=O)C1=CC=C(C=C1)O,0.773593299
CCOC1=CC=CC2=CC=CC=C21,9.684642302
CCCOC(=O)CCl,9.023755268
CCOC(=O)C1=CC=C(C=C1)C(C)(C)C,7.842545061
CCCCCCC(C(=O)OCC)Br,7.942376571
