canonicalsmiles,lc50
C1=CC(=C(C(=C1)Cl)C(=O)O)Cl,893.4210991
C1=C(C=C(C(=C1Cl)C(=O)O)Cl)Cl,579.6243825
C1=CC(=C(C(=C1)Cl)Cl)C(=O)O,490.9714115
C1=CC(=C(C=C1Cl)C(=O)O)Cl,550.8788574
C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O,16.03531435
C1=C(C=C(C=C1Cl)Cl)C(=O)O,102.5784434
C1=CC(=C(C=C1C(=O)O)Cl)Cl,93.55267383
C1=CC=C(C=C1)C(=O)N,984.663114
C(Cl)(Cl)(Cl)Cl,161.0483707
CC(CO)O,24622.24079
C1COC1=O,96.0935544
CC1=C(C=CC(=C1)O)Cl,22.59740714
C1=CC=C(C=C1)CCO,475.2574397
CC(=O)N,12398.43875
C1=CC=C(C=C1)N,158.1574314
C(=S)(N)N,1590.372581
CCO,4512.511402
CCOS(=O)(=O)OCC,769.2299912
C1=CC=C(C(=C1)C(=O)N)O,238.3220057
C1=CC=C2C(=C1)C=CC=C2C=O,58.9692112
C1=CC=C(C=C1)OC2=CC=C(C=C2)C=O,10.89299419
CO,14849.76654
CC(C)O,4580.09485
CC(=O)C,9290.23303
CS(=O)C,22124.49807
CS(=O)(=O)C,14920.18417
C1=CC=C(C(=C1)C(=O)O)O,446.947559
CCC(=O)C1=CC=C(C=C1)O,113.9156207
CCCO,3348.687122
CCCCCO,944.5442676
C1=CC=CC=C1,102.9690101
C1=CC(=CC=C1C(=O)O)Cl,121.5292766
CC(C)N,431.182235
CC(C)(C)N,576.9724229
CC(C)(C)O,4580.737558
C(C(Br)(Br)Br)O,217.9807151
CC(C)(C)CO,653.4648272
CCC(C)(C)O,1312.87179
CC(=O)C(C)(C)C,2771.368752
CC(C)(C)C(=O)O,183.2961031
CC(C)CN,133.7072806
CC(C)C=O,195.4319636
CC(=C)C=O,14.98497283
CCC(=O)C,4017.867361
CCC(=O)N,8992.033825
C=CC(=O)N,455.7716621
C(C(=O)N)Cl,86.07123945
CCC(=O)O,240.8247254
CC(=O)NC,6980.040811
CC(=O)OC,2915.418959
CC(C)C(=O)O,189.681555
CC(=C)C(=O)OC,1661.578412
CC1=C(C(=CC=C1)C)[N+](=O)[O-],75.75946224
CC1=CNC2=CC=CC=C12,55.95444837
CC1=C(C=CC=C1Cl)[N+](=O)[O-],35.84813476
CCOC(=O)C1=CC=CC=C1C(=O)OCC,130.864614
CC(C)COC(=O)C1=CC=CC=C1C(=O)OCC(C)C,10.10591225
C1=CC=C2C(=C1)C=CC=C2[N+](=O)[O-],17.317
C1=CC=C2C(=C1)C3=CC=CC=C3N2,20.57131938
C1=CC=C(C(=C1)C(=O)OCCO)O,219.0164616
CC1=C(C(=CC=C1)N)C,326.1602626
CC1=C(C(=CC=C1)C)N,326.1602626
C1=CC(=C(C(=C1)Cl)O)Cl,30.35202033
C1=CC(=C(C(=C1)O)O)O,17.81351508
CC1=CC(=C(C(=C1)C)N)C,151.7081152
CC(=O)C1=CC=CS1,490.8970509
C1=CC=C(C(=C1)C(=O)O)Br,593.2520787
C1=CC=C(C(=C1)C(=O)N)N,1009.293661
C1=CC=C(C(=C1)[N+](=O)[O-])Cl,32.91685296
C1=CC=C(C(=C1)[N+](=O)[O-])O,29.74118378
C1=CC(=C(C=C1Cl)[N+](=O)[O-])Cl,14.23315336
CC1=CC(=C(C=C1)N)[N+](=O)[O-],64.90408873
C1=CC=C(C(=C1)C(=O)NO)O,63.83936269
CC(=O)C1=C(C=C(C=C1)O)O,85.56023263
CC1=CC=CC=C1CO,328.7979674
CCC1=CC=CC=C1O,84.51405195
C1=CC=C(C(=C1)CO)O,1106.398915
C1=CC=C(C(=C1)C=O)O,46.42871839
COC1=CC=CC=C1N,603.1627549
CC1=CC=CC2=CC=CC=C12,25.87614621
C1=CC=C2C(=C1)C=CC=C2Cl,25.18531284
C1=CC=C2C(=C1)C=CC=C2O,25.63745425
CN(C)CC1=CC(=C(C(=C1)CN(C)C)O)CN(C)C,878.7888833
C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Br,14.34905515
C1=CC=C(C=C1)C(C2=CC=CC=C2)O,58.25864133
C1=CC=C2C=CC=CC2=C1,168.959609
C1=CC=C2C(=C1)C=CC=N2,104.9852136
CC1=CC2=CC=CC=C2C=C1,11.82768355
CC1=NC2=CC=CC=C2C=C1,48.51570628
CCN(CC)C1=CC=CC=C1,32.6479592
C1=CC=C(C=C1)C2=CC=CC=C2,13.74397439
CCC(C1=CC=CC=C1)O,366.5602094
CCC(=O)C1=CC=CC=C1,157.6359686
COC(=O)C1=CC=CC=C1,80.17106368
CCOC(=O)C1=CC=CC=C1,153.6679087
CC(=O)CC(=O)C1=CC=CC=C1,43.6513215
CCCCC(CC)C(=O)OC=C,15.31394633
CCOC(=O)C1=CC=C(C=C1)C,34.30623457
CCOC(=O)C1=CC=C(C=C1)N,32.95973818
CCOC(=O)C1=CC=C(C=C1)OC,30.60235062
C1=CC(=C(C=C1O)O)C=O,42.1945607
C1=CC=C2C(=C1)N=CS2,144.8586949
CC1=CC=CC=C1O,210.856195
C1=CC=C(C(=C1)Cl)Cl,43.38277563
C1=CC=C(C(=C1)N)Cl,188.6899005
CC1=CC=CC=C1N,154.8789071
C1=CC=C(C(=C1)O)Br,80.92287543
CC1=CC(=C(C=C1)C)C,19.94657504
CC1=C(C=C(C=C1)N)C,175.1584318
CC1=C(C=C(C=C1)O)C,92.6678579
CC1=C(C=C(C=C1)N)Cl,57.68503405
CC1=CC(=C(C=C1)C)N,259.0781864
CC1=C(C=C(C=C1)Cl)N,44.77785167
CC1=C(C=C(C=C1)N)N,558.4247698
C1=CC(=C(C=C1Cl)N)Cl,42.61298155
C1=CC(=C(C=C1Cl)N)O,23.82668923
C1=CC(=C(C=C1N)N)O,92.02623217
CC1=CC(=C(C=C1)C)O,88.49707651
C1=CC(=C(C=C1O)O)Cl,107.1563707
CCCCC(=O)C(=O)C,116.8915173
CC(=C)C(=O)OCC=C,603.7920005
C(C(CBr)Br)O,667.1713662
CCC(C)CN,261.4070052
C(C(CBr)O)Br,58.64586535
CCC(=O)CC,2461.242735
C(C(CCl)O)Cl,800.7906717
COC(=O)C=C,24.26345866
COC(=O)CCl,14.10944351
C1CC(=O)OC1,4486.965268
C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])N,34.89279667
COC1=C(C=CC(=C1)CC=C)O,62.4270845
CCOC(=O)C(C)C,2167.986649
CCOC(=O)C(=C)C,971.4891805
CC(C)COC(=O)C(C)C,562.3354685
CC(C)COC(=O)C(=C)C,270.9565141
CCC(CC)C=O,113.4211943
C1=CSC(=C1)C=O,125.8343696
CC(C)(C)C1=CC=C(C=C1)O,18.48109322
CC(C)C1=CC=CC=C1,24.53964271
CC(=O)C1=CC=CC=C1,346.5163851
C1=CC=C(C=C1)C(Cl)Cl,124.999102
C1=CC=C(C=C1)[N+](=O)[O-],89.18529051
CC(=O)C1=CC(=CC=C1)N,892.9930587
C1=CC(=CC(=C1)O)C(=O)O,891.7774158
CC1=CC(=CC=C1)[N+](=O)[O-],52.13916181
C1=CC(=CC(=C1)[N+](=O)[O-])N,128.901084
C1=C(C=C(C(=C1Br)O)Br)[N+](=O)[O-],12.96015208
CC1=C(C=C(C=C1)[N+](=O)[O-])C,38.8541116
CC1=C(C=CC(=C1)[N+](=O)[O-])N,49.2347749
C1=CC(=C(C=C1[N+](=O)[O-])N)N,46.24754065
C1=CC(=CC(=C1)[N+](=O)[O-])C=O,117.3064913
C1=CC(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-],29.21416973
CCCC(CCC)C(=O)O,135.8298987
CC1=CC=C(C=C1)C(=O)OC,88.42665172
COC(=O)C1=CC=C(C=C1)O,126.5528869
CCOC(=O)C1=CC=C(C=C1)[N+](=O)[O-],38.05511705
CC(C)C1=CC=C(C=C1)N,81.47208163
C1=CC(=CC=C1C(=O)O)O,1446.293951
CC(=O)C1=CC=C(C=C1)OC,202.5738027
CN(C)C1=CC=C(C=C1)C=O,87.84958494
CCC1=CC=C(C=C1)[N+](=O)[O-],56.1612523
C1=CC(=CC=C1CCl)[N+](=O)[O-],11.3361834
COC1=CC=C(C=C1)[N+](=O)[O-],44.16605844
CCN(CC)CCO,3663.45241
C1=CC=C(C=C1)CBr,39.3615594
C=CC1=CC=CC=C1,109.0584383
C1=CC=C(C=C1)CN,186.2053588
C1=CC=C(C=C1)C=O,168.1888656
CNC1=CC=CC=C1,93.32377015
CSC1=CC=CC=C1,82.06471428
CCC1=CC=CC=N1,794.3137407
CC1(OCC(O1)CO)C,8148.919545
C1=CC(=CC(=C1)O)C=O,101.5750151
CC(C)(CC1=CC=CC=C1)O,386.1249434
C1=CC=C(C=C1)CC2=CC=CC=N2,70.54262083
C1=CC=C(C=C1)N=C(N)N=C(N)N,434.9990671
C(CO)N(CCO)CCO,8370.274754
CC(C)(CCC1=CC=CC=C1)O,192.96513
C1=CC=C(C=C1)CCBr,70.35783348
CCNC1=CC=CC=C1,103.1409312
CN(C)CC1=CC=CC=C1,102.5672975
CC(=O)NC1=CC=C(C=C1)O,998.703986
CCCCC1CCC(=O)O1,341.1141196
C1=CC=C(C=C1)CCCCl,48.89829946
CCCCCC1CCC(=O)O1,151.2644015
CCCCC(CC)CO,88.6558924
CC1=CC=C(C=C1)CN,124.0026448
C1=CC(=CC=C1CN)Cl,97.96324293
CC1=CC=C(C=C1)C=O,137.0009804
C1=CC(=CC=C1C=O)Cl,55.95793101
CCC1=CN=C(C=C1)C,183.4133943
C1=CC(=CC=C1N=O)O,27.56088959
CC1=CC=C(C=C1)OC,68.69561629
CCC(=O)OCC,899.8150068
CCC(=O)OC=C,450.3196944
CCOC(=O)CCl,10.77241598
CCC(C)CC(=O)O,198.635379
CCC(C)OC(=O)C,554.6978766
CCOC(=O)CC(=O)OCC,1590.673975
CN(CCO)CCO,8130.747879
CCCC(=O)OCCC,337.7102694
CC1=CC(=C(C=C1)O)C,88.49707651
CCCCOC(=O)CCCCC(=O)OCCCC,41.70694371
CCCOC(=O)CC,758.6766246
C1=CC(=CC=C1Br)Br,49.28648438
CC1=CC=C(C=C1)Br,57.95251602
C1=CC(=CC=C1N)Br,16.81042693
C1=CC(=CC=C1O)Br,36.14690404
CC1=CC=C(C=C1)C,59.69815508
CC1=CC=C(C=C1)O,156.3098928
C1=CC(=CC=C1Cl)Cl,43.38277563
CC1=CC=C(C=C1)N,120.2242774
CC(C)COC(=O)C=C,65.73293072
COC(=O)CCC(=O)OC,1666.36104
CCCCCC(=O)OC,473.7447031
CCCCCCC(=O)OC,113.4998472
COC(=O)CCCCCCCCC(=O)OC,22.45400102
C=CCBr,32.63725165
C=CCCl,666.4614925
C(CCl)O,2103.051591
CCCI,417.2760647
C=CCO,4808.688087
COC=O,1890.222863
CC(CC(C)(C)O)O,10604.91362
CC(C)(C)OC(=O)CCl,21.07778022
CC(C)CCBr,84.93603376
CC(C)CCN,329.0918458
CCCC(=O)C,1436.000024
CC(CCO)O,18022.75517
CCCC(=O)O,328.870714
C(CCl)C(=O)O,233.0825631
CCC[N+](=O)[O-],870.6206401
CC(=O)OC=C,622.2325239
CC(C)CC(=O)C,1616.941158
CC(C)OC(=O)C,3973.318066
CC(=C)OC(=O)C,308.6888487
CC1CCC(=O)O1,3711.255386
CC1=CC(=CC=C1)O,130.012846
C1=CC(=CC(=C1)Cl)O,17.34092185
CC1=CC(=CC=C1)N,204.1701159
C1=CC(=CC(=C1)O)O,491.8434166
CC1=CC(=NC=C1)C,478.6215792
CC1=NC(=CC=C1)C,691.8183471
COC(=O)CC(=O)OC,2558.206468
CCOC(=O)CC(C)C,687.9300288
CC1=CC(=CC(=C1)N)C,277.6072782
C1=C(C=C(C=C1Cl)Cl)Cl,24.47019232
C1=C(C=C(C=C1O)O)O,2294.824753
CC1=CC=CC=C1,51.8141297
CC1=CC=NC=C1,706.4634583
C1=CC=C(C=C1)Cl,151.8258074
C1CCC(CC1)O,584.3786164
C1CCC(=O)CC1,1678.20903
C1=CC=C(C=C1)O,210.6859978
CN1CCNCC1,913.4700567
C1=CC=NC(=C1)Br,547.8442237
CC1=CC=CC=N1,952.9927637
CC1=NC=CN=C1,1157.80594
C1=CC=NC(=C1)Cl,785.5047035
CCCCOC(=O)CCC,43.95369365
CCCCNC(=S)NCCCC,25.99816323
CC(=O)CCC=C,1354.709117
CCCCC(=O)O,188.8658041
CCCOC(=O)C,1766.661448
CCCCCl,752.4373821
CNCCO,4962.469631
