canonicalsmiles,lc50
C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)(Cl)Cl)Cl,0.012012031
C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O,4.710612476
COP(=O)(C(C(Cl)(Cl)Cl)O)OC,0.000210213
CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-],0.001567764
C1=CC=C2C(=C1)C=CC3=CC4=CC=CC=C4C=C32,0.137881504
C1C2C(C(C1Cl)Cl)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,0.098304196
CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,5.803543547
CC1=CC(=O)C2=CC=CC=C2C1=O,0.490888212
C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,1.788934346
C1=C(C(=C(C(=C1Cl)Cl)Cl)O)Cl,0.228718213
CNC(=O)CSP(=S)(OC)OC,1.649696127
C1=CC=C(C=C1)N,0.359823483
C(=S)(N)N,9.005312322
CNC(=O)OC1=CC=CC2=CC=CC=C21,0.999243299
C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl,2.69897249
C1C2C3C(C1C4C2O4)C5(C(=C(C3(C5(Cl)Cl)Cl)Cl)Cl)Cl,0.142170985
COC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC)C(Cl)(Cl)Cl,0.015979888
CCS,0.16996952
C1=CC(C2C1C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,0.114830668
C1CC2=CC=CC3=C2C1=CC=C3,0.644335912
CC1=C(C(=CC=C1)[N+](=O)[O-])C,4.201812641
CC1=C(C=CC=C1Cl)[N+](=O)[O-],4.202101743
CC(=C)C1CC2=C(O1)C=CC3=C2OC4COC5=CC(=C(C=C5C4C3=O)OC)OC,0.003697745
CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,3.70318768
C1=CC=C2C(=C1)C=CC3=CC=CC=C32,0.767327225
C1=CC=C(C=C1)N(C2=CC=CC=C2)N=O,7.800946003
C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O,0.800518488
C1=C(C=C(C(=C1Cl)O)Cl)Cl,1.407172529
CCC(C)C1=C(C(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-])O,0.24021
CC1=C(C=C(C=C1)Cl)[N+](=O)[O-],9.29965556
C1=CC=C2C(=C1)C=CC=C2Cl,1.600100459
C1=CC=C(C=C1)C2=CC=CC=C2,1.901571401
C1=CC=C(C=C1)C2=CC=C(C=C2)O,3.664251478
C1=CC=C(C(=C1)Cl)Cl,2.297825976
C1=CC=C(C(=C1)N)Cl,0.441314864
CC1=CC=CC=C1N,0.519986508
C1=CC=C(C(=C1)O)Cl,7.431426401
C1=CC(=C(C=C1Cl)N)Cl,2.921069042
C1=C(C(=CC(=C1Cl)Cl)Cl)O,2.367811624
C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl,0.800815273
CN(C)C(=S)SC(=S)N(C)C,2.903339446
CCN(CC)C(=S)SSC(=S)N(CC)CC,0.119956724
CC1=CC=C(CC1)C(C)C,1.850429982
C1=CC(=CC=C1[N+](=O)[O-])Cl,7.716467076
CNC1=CC=CC=C1,0.173377316
C1=CC(=CC=C1NC(=O)NC2=CC(=C(C=C2)Cl)Cl)Cl,0.010498731
C1=CC=C(C=C1)OC2=CC=C(C=C2)Br,0.189833881
C1=CC=C(C=C1)OC2=CC=CC=C2,0.669861275
CCNC1=CC=CC=C1,0.420175715
C1=CC=C(C=C1)N=C=S,0.099987237
COC1=CC=C(C=C1)N,0.329939579
CC1=CC(=C(C=C1)O)C,2.098597369
C1=CC(=CC=C1O)Br,5.943893319
C1=CC(=CC=C1N)Cl,0.0499745
CCCS,0.059941394
C1=CC(=CC(=C1)Cl)N,0.099942143
CC1=CC(=CC=C1)N,0.729444704
CC(C)OC1=CC=CC=C1OC(=O)NC,1.260796259
C1C2C(COS(=O)O1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,0.30443024
C1=CC=C(C=C1)OP(=O)(OC2=CC=CC=C2)OC3=CC=CC=C3,0.999118898
C1=CC(=CC=C1S(=O)(=O)C2=CC(=C(C=C2Cl)Cl)Cl)Cl,6.925481891
C1=C(C=C(C(=C1Br)O)Br)Br,0.041073849
CC1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],8.856754383
