canonicalsmiles,lc50
C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-],32.00353195
C(Cl)(Cl)(Cl)Cl,34.99100654
C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,230.5365339
CO,3286.393751
CC(=O)C,12360.23186
C(Cl)(Cl)Cl,66.51127816
CCCO,6837.13983
CC(Cl)(Cl)Cl,11.19839106
C1CO1,199.9613282
C(Br)(Br)Br,45.9892998
C1C=CC2C1C3CC2C=C3,10.50102168
CC1=CC(=O)CC(C1)(C)C,120.0989933
CC(C)CO,1106.459216
CC(CCl)Cl,55.84722142
CCC(Cl)Cl,23.01450139
C(C(Cl)Cl)Cl,42.96904778
C=CC(=O)N,159.8628014
C(C(Cl)Cl)(Cl)Cl,56.98910762
CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,12.80816719
CC1=CCC2CC1C2(C)C,40.95176804
CCOC(=O)C1=CC=CC=C1C(=O)OCC,54.1779201
CCCCOC(=O)C1=CC=CC=C1C(=O)OCC2=CC=CC=C2,12.87392057
C1=CC=C(C(=C1)[N+](=O)[O-])Cl,34.30982536
C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-],84.92295336
C1=CC(=C(C=C1Cl)[N+](=O)[O-])Cl,10.99768126
COC1=CC=CC=C1N,12.00699186
COC1=CC=CC=C1O,25.9365162
C1=CC=C2C(=C1)C=CC=N2,38.03015858
C1C2=CC=CC=C2OC3=CC=CC=C31,20.30467032
C1=CC=C2C(=C1)C=CS2,58.98647121
CC1=CC=CC=C1C,17.21713599
CC1=CC=CC=C1O,15.10032746
C1CNC(=S)N1,26.38036403
CC(C)C1=CC=CC=C1,24.88102887
C1=CC=C(C=C1)[N+](=O)[O-],26.99562778
CC1=CC(=CC=C1)[N+](=O)[O-],11.48587393
C1=CC(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-],43.01238734
CC1=CC=C(C=C1)[N+](=O)[O-],11.94439742
C1=CC(=CC=C1[N+](=O)[O-])O,11.78578056
CCC1=CC=CC=C1,18.40606748
C=CC1=CC=CC=C1,36.86882307
C1=CC=C(C=C1)C=O,11.21494483
C1=CC=C(C=C1)NC(=S)NC2=CC=CC=C2,67.06946376
C1=CC=C(C=C1)NC(=S)N,58.94837228
CCNC(=S)NCC,192.8990096
CC1=CC=C(C=C1)C,32.28203543
CC1=CC=C(C=C1)O,21.0856195
C1=CC(=CC=C1Cl)Cl,10.89725804
C1C(O1)CCl,23.23997862
C(CCl)Cl,294.0760705
C(CCl)O,210.789914
C=CCN,42.51674839
C(CN)N,26.47735339
C(CO)O,47411.28709
CCCC(=O)O,60.95721281
CC(C)NC(C)C,447.8550709
CC1=CC(=CC=C1)C,36.2210395
CC1=CC(=CC=C1)O,18.79257816
C1CCC(CC1)Br,21.00619235
CC1=CC=CC=C1,97.59966071
C1=CC=C(C=C1)Cl,13.01204329
C1=CC=C(C=C1)O,13.29339389
CCNCC,55.99574872
C1=CSC=C1,317.6891683
C1=CC=NC=C1,1172.671805
C(CO)NCCO,110.0950955
CCCCCCCO,67.95260778
CCOCCOCCO,3950.530506
C(CCl)OCOCCCl,200.9654999
C(C(Cl)(Cl)Cl)O,148.0303267
CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,11.00859866
C1CNC(=O)N1,5596.966504
C1=CC(=CC(=C1)Cl)[N+](=O)[O-],22.82540055
CCCCCCCCCC,17.99466875
CNC,50.00161219
C(=C(Cl)Cl)(Cl)Cl,18.01293684
COC(=O)C1=CC=CC=C1C(=O)OC,32.97649524
C(C(=O)O)N(CC(=O)O)CC(=O)O,351.0358581
CCOC(=O)C,736.2496498
C(CCl)CCl,279.8992085
CCCCOCCCC,25.9841016
CC1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])C(=O)N,165.0027719
COC1=CC=CC(=C1)O,41.10661742
C1C(=O)NC(=S)N1,19.81444543
CNC(=S)NC,16.51141728
CC1=C(C(=CC=C1)C)O,11.19254693
CCNC(=S)N,13.98892537
C(C(Cl)(Cl)Cl)Cl,23.97684062
CN(C)C(=O)N(C)C,2897.721235
CN(C)P(=O)(N(C)C)N(C)C,6673.259376
C(CO[N+](=O)[O-])OCCO[N+](=O)[O-],90.05789354
C1=CC=C2C(=C1)C=CS2(=O)=O,14.0162269
CC1=CC2=C(C=C1)N=C(C=C2)C,37.97345103
CCNC1=NC(=NC(=N1)SC)NCC,50.00473335
C(C(=O)O)NCP(=O)(O)O,20.89616326
CCCCNC(=S)N,18.72104115
C1(=C(C(=NC(=C1Cl)Cl)C(=O)O)Cl)N,50.68939819
CCNC(=S)NC1=CC=CC=C1,80.15367859
C(C(C(CS)O)O)S,27.00013441
CN(C1=CC=CC=C1)C(=S)N,96.33002078
CN(C)C(=S)N,41.95506064
CC1=CC2=C(C=C1)SC=C2,13.99381115
COC(=O)NC(=S)NC1=CC=CC=C1NC(=S)NC(=O)OC,16.01525493
CC(C)(C)NC1=NC(=NC(=N1)N)SC,10.99033969
CCC1=CC=CC(=C1N(C(C)COC)C(=O)CCl)C,13.00160262
CN1C(=NC(=O)N(C1=O)C2CCCCC2)N(C)C,152.0318092
CC1=C(C(=CC=C1)C)N(C(C)C(=O)OC)C(=O)COC,51.5368157
CC1=C(C(=CC=C1)C)N(C(C)C(=O)OC)C(=O)COC,41.89070616
CC(C)(C)C(C(CC1=CC=C(C=C1)Cl)N2C=NC=N2)O,28.71023909
CCC1=CC=C(C=C1)C(=O)NN(C(=O)C2=CC(=CC(=C2)C)C)C(C)(C)C,17.38436858
CCOC1=C(C=CC(=C1)NC(=O)C)C(=O)OC,200.0812173
CC(=S)N,17.4129034
CCO,11923.89663
CS(=O)C,24996.16639
CN(C)C=O,14383.28189
C1=CC=CC=C1,266.5057833
C(Cl)Cl,219.8169735
C=C(Cl)Cl,30.23451563
CCC(=O)O,49.96903629
CC1(C2CCC(C2)C1=C)C,21.99240156
C1=CC=C(C(=C1)[N+](=O)[O-])O,13.16309909
C1=CC=C2C=CC=CC2=C1,11.39679918
C1=CC=C2C(=C1)C=CC(=O)O2,13.51354223
C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,70.0569335
