canonicalsmiles,lc50
CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,484.0813178
C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O,10.99201666
CCOC(=O)N,5233.943847
COP(=O)(C(C(Cl)(Cl)Cl)O)OC,109.0584339
CCN(CC)N=O,774.8113135
C1=CC=C(C=C1)C(=O)N,661.1310729
C(Cl)(Cl)(Cl)Cl,41.39581482
CC(C)(C(Cl)(Cl)Cl)O,134.9198978
CCC1(C(=O)NC(=O)NC1=O)CCC(C)C,85.43323997
CC(CO)O,34066.50453
C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,59.80531183
CCOCC,2558.205396
C1=CC=C(C=C1)N,94.64324077
CC(=S)N,270.3156504
CN(C)N=O,939.0765022
CCO,13471.57063
CC(=O)O,83.46663629
C1=CC=C(C(=C1)C(=O)N)O,100.9634646
CCCCCC=O,17.56686711
CO,28165.63935
CC(C)O,10020.15575
CC(=O)C,8128.803731
C(Cl)(Cl)Cl,96.13800239
C(C(=O)O)S,30.0160769
CCC(=O)C1=CC=C(C=C1)N,146.1300773
CCCO,4559.051226
CCCCO,1909.569242
CCCCCO,534.8380745
C1=CC=CC=C1,28.03539877
CC(Cl)(Cl)Cl,52.86348977
CC=O,36.97821241
C(Cl)Cl,319.9345365
C1CO1,83.93554463
C=C(Cl)Cl,135.0526516
CC(=O)Cl,41.96329255
CC(C)(C)O,6411.142214
C(C(F)(F)F)O,118.8977628
CC(=O)C(C)(C)C,87.03505656
CC(C(=O)O)(Cl)Cl,289.8977317
C(=O)(C(Cl)(Cl)Cl)O,2000.778407
CC1(C2CCC1(C(=O)C2Br)C)C,68.52613213
CC1(C(=O)NC(=O)N1)C,16506.34189
C1C=CC2C1C3CC2C=C3,51.78826423
CCC(C)(CC)O,671.9291671
CCOP(=S)(OCC)SC1C(OCCO1)SP(=S)(OCC)OCC,10.01015683
CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC,11.20542223
CC1=CC(=O)CC(C1)(C)C,253.2441763
CC(=C)C=C,76.08074196
CC(C)CO,1468.70817
CC(CCl)Cl,133.3526254
CC(CN)N,1129.780306
CCC(=O)C,3221.035383
C(C(Cl)Cl)Cl,81.68752345
C=CC(=O)N,114.4846917
C(=S)(N)NN,20.78303764
CC(=O)OC,398.7501631
C(C(Cl)Cl)(Cl)Cl,20.3606696
CCOC(=O)C1=CC=CC=C1C(=O)OCC,17.01461116
C1C(C(C(C(O1)O)O)O)O,37710.94926
CCOC(=O)C(C(C(=O)OCC)O)O,650.5305531
C1=CC=C(C(=C1)C(=O)N)N,395.3827754
C1=CC=C(C(=C1)[N+](=O)[O-])O,160.087879
CC1=CC(=C(C=C1)N)[N+](=O)[O-],24.78973343
C1=CC=C2C(=C1)C=CC=N2,46.03922839
COC1=CC=CC=C1[N+](=O)[O-],191.0243114
CCN(CC)C1CCCCC1,21.38530371
CCN(CC)C1=CC=CC=C1,16.40046037
CCN(CCO)C1=CC=CC(=C1)C,52.9033766
CC(C(=O)O)OC1=CC(=C(C=C1Cl)Cl)Cl,17.08278872
CCOC(=O)C1=CC=C(C=C1)N,35.72594729
C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,262.6946473
C1=CC(=C(C=C1Cl)Cl)OCCCC(=O)O,18.00348133
C1=CC(=C(C=C1O)O)C=O,13.09956185
CC1=CC=CC=C1C,16.40441735
CC1=CC=CC=C1O,13.99543383
CC1=CC=CC=C1F,19.44937452
C1=CC=C(C(=C1)O)Cl,12.30472695
CC1=C(C=C(C=C1)O)C,13.99358609
CC1=C(C=C(C=C1)N)N,1418.942098
C1C(O1)C2=CC=CC=C2,12.15412994
C(C(CBr)Br)O,70.99655878
C(C(CCl)Cl)Cl,57.62167327
CC(C)N(CCO)C(C)C,200.9491809
COC1=C(C=CC(=C1)CC=C)O,24.0089492
C1=COC(=C1)C=O,25.91988047
CC(=O)C1=CC=CC=C1,162.0779277
C1=CC=C(C=C1)C(=O)Cl,34.66264892
CC1=CC(=CC=C1)[N+](=O)[O-],31.20069335
CC1=C(C=CC(=C1)[N+](=O)[O-])N,86.75049403
C1=CC(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-],12.69384959
CC1=CC=C(C=C1)N(C)C,52.00065485
CC1=CC=C(C=C1)[N+](=O)[O-],49.79251297
CCC1=CC=CC=C1,11.99391343
C=CC1=CC=CC=C1,17.04744407
CNC1=CC=CC=C1,99.99819833
CCC1=CC=CC=N1,413.9921206
CC1(OCC(O1)CO)C,16714.75557
C1N2CN3CN1CN(C2)C3,49855.95455
C1=CC=C(C=C1)NC(=S)NC2=CC=CC=C2,18.90275624
CCNC1=CC=CC(=C1)C,49.54601306
C(CO)N(CCO)CCO,11796.13445
CC(C)(CCC1=CC=CC=C1)O,66.44755975
C1CN(CCN1)CCO,6405.862715
CCCCCCCC1CCC(=O)O1,1490.921013
CCCCC(CC)CO,28.22979379
CCC1=CN=C(C=C1)C,81.17661697
CCN(CC)CCCC(=O)C,336.1944612
CCOC(=O)CC(=O)OCC,15.43765658
C1=CC(=CC=C1N)Br,47.48746028
CC1=CC=C(C=C1)O,23.33385341
C=CCCl,21.76581639
C(CCl)Cl,125.7360424
CCCN,308.0781937
C(CN)N,159.5417943
C(CO)O,57000.90426
C(=O)C=O,215.1430909
CC(CC(C)(C)O)O,10703.04214
CC(C)(C)CC(C)(C)N,24.62617432
CC(C)(C)SC(C)(C)C,29.12355095
CCCC(=O)C,1239.237215
CC(=O)OC=C,23.01191217
CC(C)CC(=O)C,536.6540557
CC(C)OC(C)C,785.8203899
CC1=CC(=CC=C1)C,15.99414061
CC1=CC(=CC=C1)O,55.84527903
C1=CC(=CC(=C1)O)O,54.93217091
CC1=CC=CC=C1,34.23324813
CC1=CC=NC=C1,402.8000381
C1=CC=C(C=C1)Cl,25.48857168
C1CCC(=O)CC1,629.2829336
C1=CC=C(C=C1)O,30.10480881
CC1=CN=CC=C1,143.9095128
CN1CCNCC1,2299.821956
CC1=CC=CC=N1,897.6139697
CC1CNCCN1,2242.303092
CCCCOC(=O)CCC,11.58765554
CCCCC(=O)O,76.94022144
CCCOC(=O)C,60.00030139
CCCCBr,36.70996439
CCCCN,268.0123804
COCCN,524.4424795
COCOC,6987.594336
CCNCC,855.3718546
C1=CNC=C1,210.2121876
C1CCOC1,2157.722029
C1=COC=C1,60.94746556
CC(C)CCC(=O)C,159.084612
CCCCCC(=O)C,131.1076319
C(CCCl)CCl,51.62236724
CCCCC=O,12.88707771
CCNCCO,1479.355769
C1CCCCC1,42.37460148
C1OCOCO1,5951.52795
C(COCCO)O,75127.20491
CCCSCCC,21.71522437
CCCCCCCO,36.15814384
CCCCCCCCO,13.51162881
C(CCl)OCOCCCl,184.1286664
C(COCCOCCO)O,73719.63746
C(C(Cl)(Cl)Cl)O,227.1697486
CCOP(=S)(OCC)OC1=CC=C(C=C1)S(=O)C,43.06400025
CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,1105.941459
CCOC(=O)C1=CC=CC=C1O,19.79486845
C1=CC(=C(C=C1N)[N+](=O)[O-])O,36.21254937
C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,14.74334547
C1=CC=C(C=C1)N(CCO)CCO,734.9031188
CCN(CC)C1=CC=C(C=C1)C=O,23.90902364
CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],31.00140578
CCOC1=C(C=CC(=C1)C=O)O,87.6097659
C1=CC(=CC=C1N)S(=O)(=O)O,100.3512559
C1=CC(=CC(=C1)Cl)[N+](=O)[O-],18.38308128
CCOC(=O)CC(C(=O)OCC)SP(=S)(OC)OC,12.50374588
C1N(CN(CN1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],11.00494471
CCOC(=O)CCC(=O)OCC,139.9662152
CC(=O)CC(=O)C,141.097962
CCCC=O,15.99541438
CCCCOC(=O)C,17.99105799
C1COCCO1,10328.2136
C(CCC(=O)O)CC(=O)O,96.99941231
C(C(CO)(CO)[N+](=O)[O-])O,280.1056344
CC1(CC(=O)CC(=O)C1)C,11499.68795
CC(CCl)O,245.2537169
C(=C(Cl)Cl)(Cl)Cl,18.39012267
CCN(CC)C(=O)C1=CC=CC(=C1)C,110.0643968
CC1=CCC(CC1)C(=C)C,966.6580159
C1CN(CCN1)CCN,2189.067495
CCOC(=O)CCCCC(=O)OCC,18.02554192
CC1CNCC(O1)C,386.6690103
CCCCCC(=O)O,167.9023224
CCCCOCCCC,32.26322714
C1CC2C(C(C1O2)C(=O)O)C(=O)O,15.48411793
C1=CC=C2C(=C1)NC(=S)S2,11.00261055
CCC(C(C)CO)O,8679.752379
COC1=CC=CC(=C1)O,74.45808135
COC1=CC=C(C=C1)O,96.36333925
COC1=CC=C(C=C1)OC,117.0529395
CN(C)P(=O)(N(C)C)OP(=O)(N(C)C)N(C)C,120.988863
C1=CC=C2C=NN=CC2=C1,100.1023038
C1=CC=C2C(=C1)C=CO2,14.007483
C1CN2CCN1CC2,1729.325398
CCC(C)N1C(=O)C(=C(NC1=O)C)Br,184.0094542
CC1=CC(=CC(=C1N(C)C)C)OC(=O)NC,17.01767354
CN(C)C(=O)NC1=CC(=C(C=C1)Cl)Cl,14.20768899
C1=CC(=CC=C1[N+](=O)[O-])F,28.41364262
C1=CC(=CC=C1N)F,16.89632026
CCOC(=O)C(F)(F)F,9989.251521
C1=CC(=C(C(=C1)F)C(=O)O)F,69.01316897
C1=CC(=C(C=C1F)C(F)(F)F)N,29.58828096
CC1(C2CCC1(C(C2)O)C)C,63.27396832
CC1(C2CCC1(C(=O)C2)C)C,110.0272472
CC1(C2CCC(O1)(CC2)C)C,101.9119409
CC1(CCCC2(C3C1C(C2=C)CC3)C)C,10.1947045
C1CC2=CC=CC=C2C1,14.01341184
C1COC2=CC=CC=C21,81.79441961
C1CC2CC1CC2O,227.9695384
C1=CC(=CN=C1)C=O,16.39947403
CCCCC(=O)CCCC,30.97575093
CC(=O)Br,40.61894442
CC(=O)OC(C)(C)C,326.6303252
CC(=O)C1=C(C=C(C=C1)OC)O,69.43088801
C1=CC=C(C(=C1)C=O)[N+](=O)[O-],14.39865895
C1=CC(=CC=C1C=O)[N+](=O)[O-],10.10000863
CC(C)C(=O)C,863.2855016
CC1=C(C(=CC=C1)[N+](=O)[O-])N,24.28130682
C1=CC(=C(C(=C1)[N+](=O)[O-])O)[N+](=O)[O-],39.72624146
CC1=CC(=C(C=C1)[N+](=O)[O-])N,24.84689111
CC1=C(C=C(C=C1)N=C=O)N=C=O,164.4176044
C=CCNC1=CC=CC=C1,35.9311915
CCCCC(=O)C,428.2469868
CC(C)C(C(C)C)O,163.00699
CC1=C(C=CC=C1[N+](=O)[O-])N,49.91969885
CC1=C(C=CC=C1[N+](=O)[O-])[N+](=O)[O-],19.15938602
C1=CC=C(C=C1)N(C=O)C2=CC=CC=C2,30.40695803
COC1=CC(=C(C=C1)C=O)OC,20.11650455
CC(=O)NC1=CC=CC=C1O,32.99414535
CCOC1=CC(=C(C=C1)N)[N+](=O)[O-],25.97171914
C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])N,21.31747585
COC(=O)C1=CC=C(C=C1)[N+](=O)[O-],23.60686619
C1=CC=C(C=C1)CS(=O)CC2=CC=CC=C2,80.04798563
CC(=O)NC1=CC(=CC=C1)O,1130.933277
CC1=CC=C(O1)C,71.09825509
C(CO)CCl,800.9687973
C(CCCl)CCCl,25.31291724
C(C(=O)O)(Br)Br,69.04584172
C(C(=O)N)(Cl)Cl,241.0129565
CC1=COC=N1,1388.509191
CC1=NC=CN1,285.9850015
CC1=CC(=C(C=C1)[N+](=O)[O-])O,46.99900273
C1C2CC3CC1CC(C2)C3=O,60.77540444
CCCCCCC1CCC(=O)O1,17.99231395
CCCCN(CCCC)C=O,89.24636865
C1C2CC3CC1CC(C2)(C3)N,24.98591644
C1=CC=C(C=C1)P(=O)(C2=CC=CC=C2)C3=CC=CC=C3,53.64303069
COP(=O)(O)OC,18.01120835
CCCCCCCC(=O)C,15.2062366
C1CCC(C(C1)Cl)Cl,18.40065293
CC(=C)C(=O)OCCO,227.1996015
CO[P+](=O)OC,223.1443746
C(C(F)(F)F)(C(F)(F)F)O,244.01278
C=CCC(C=C)O,38.09307692
CC(=O)C1=CC=CN1C,156.8319044
C1=CC(=CC=C1C(=O)CCl)Cl,11.70990869
C1=CC=C(C=C1)C2=CC=NC=C2,16.10244101
C1=CC=C(C=C1)S(=O)C2=CC=CC=C2,87.28336367
CN(C)C(=O)C(C1=CC=CC=C1)C2=CC=CC=C2,47.96902009
C1=CC(=NC=C1Br)N,177.0399206
CCOP(=O)(CC1=CC=CC=C1)OCC,336.0111593
COP(=S)(O)OC,42.52607481
CC(=O)C1=CC=NC=C1,167.9916011
COC(=O)C1=CC=C(C=C1)Cl,11.91114384
CC(C)OP(=O)(C)OC(C)C,637.8324092
C=CCC1=CC=CC=C1O,14.08170752
CCNC1=NC(=NC(=N1)Cl)NC(C)C,14.99028448
C1(=C(C(=NC(=C1Cl)Cl)C(=O)O)Cl)N,55.32444108
C1=CC(=C(C(=C1)Cl)C(=O)N)Cl,468.5967949
COC(=O)C1=C(C=C(C=C1)O)O,41.94661999
CN(C)C(=O)NC1CC2CC1C3C2CCC3,31.98880879
CC1CCC(C(C1)O)C(C)C,18.91680208
CC1=CC=C(C=C1)S(=O)(=O)N2C=CN=C2,41.77156527
CC(=O)C1=C(C=C(C=C1)Cl)Cl,11.70990869
C1=CC(=C(C=C1N)C(F)(F)F)F,30.06905184
C1CCC(C(C1)C2=CC=CC=C2)O,44.37405585
CCOCCOC(=O)C(=C)C,27.68082477
