canonicalsmiles,lc50
C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)(Cl)Cl)Cl,0.018993996
C1=CC(=C(C(=C1Cl)C(=O)O)Cl)Cl,8.494674579
CC1=C(C=CC(=C1)OP(=S)(OC)OC)SC,3.202676745
C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-],2.736515487
CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-],1.410200113
C=CCN=C=S,0.085572933
CN(C)N,7.85008523
C1C2C(C(C1Cl)Cl)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,0.062168753
CC1=CC(=O)C2=CC=CC=C2C1=O,0.109896156
C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,0.071877755
C1=C(C(=C(C(=C1Cl)Cl)Cl)O)Cl,1.031099434
CC1=C(C=CC(=C1)O)Cl,5.470899166
C1C2C3C(C1C4C2O4)C5(C(=C(C3(C5(Cl)Cl)Cl)Cl)Cl)Cl,0.023486104
CNC(=O)OC1=CC=CC2=CC=CC=C21,7.205614848
C1=CC=C2C(=C1)C(=C(C(=O)O2)CC3=C(C4=CC=CC=C4OC3=O)O)O,5.113603697
C1=CC=C(C=C1)OC2=CC=C(C=C2)C=O,4.604130998
C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl,1.355807893
C1=C(C(=C(C(=C1Cl)Cl)CC2=C(C(=CC(=C2Cl)Cl)Cl)O)O)Cl,0.021012972
COC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC)C(Cl)(Cl)Cl,0.008542281
C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl,4.39693432
C(I)(I)I,2.918774967
C(C(Cl)(Cl)Cl)(Cl)Cl,7.533485952
C1=CC(C2C1C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,0.066078183
C1(=C(C(C(=C1Cl)Cl)(Cl)Cl)Cl)Cl,0.067896012
CC(C)(C1=CC(=C(C(=C1)Br)O)Br)C2=CC(=C(C(=C2)Br)O)Br,0.795278165
CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,4.650363359
CC(C1=CC=C(C=C1)Cl)(C2=CC=C(C=C2)Cl)O,1.519406528
CCC(C)(C)C1=CC=C(C=C1)O,2.591068749
C1CC2=CC=CC3=C2C1=CC=C3,1.599971833
CC1=CNC2=CC=CC=C12,8.847784139
CC(=C)C1CC2=C(O1)C=CC3=C2OC4COC5=CC(=C(C=C5C4C3=O)OC)OC,0.005997042
C1=CC=C(C=C1)OC(=O)C2=CC=CC=C2C(=O)OC3=CC=CC=C3,0.079953364
CC(C)COC(=O)C1=CC=CC=C1C(=O)OCC(C)C,0.900690999
CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,1.195571415
CCCCOC(=O)C1=CC=CC=C1C(=O)OCC2=CC=CC=C2,1.865138235
C1=CC=C2C(=C1)C=CC=C2[N+](=O)[O-],5.087126731
C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O,0.250248318
C1=C(C=C(C(=C1Cl)O)Cl)Cl,4.553517902
C1=CC(=C(C=C1O)C(F)(F)F)[N+](=O)[O-],6.400307923
CCC(C)C1=C(C(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-])O,0.154735899
C1=CC=C(C(=C1)C=O)O,2.300312798
C1=CC=C2C(=C1)C=CC=C2O,4.177099289
C1=C(C=C(C(=C1C=O)O)Br)Br,0.849216286
C1=CC=C(C=C1)C2=CC=CC=C2,2.938412326
CCOC(=O)C1=CC=CC=C1,8.503211488
CC(=O)CC(=O)C1=CC=CC=C1,1.098998744
CC1=CC(=C(C=C1)C)C,7.724465453
CC1=CC(=C(C=C1)Cl)Cl,2.910092495
C1=CC(=C(C=C1N)Cl)Cl,7.700905995
C1=C(C(=CC(=C1Cl)Cl)Cl)Cl,0.320075655
C1=C(C(=CC(=C1Cl)Cl)Cl)O,1.06991025
CC(=C)C(=O)OCC=C,0.990574753
CCC(C)C=O,9.98054707
C1=CC(=C(C=C1Cl)CC2=C(C=CC(=C2)Cl)O)O,0.309703329
CC(C)(C)C1=CC=C(C=C1)O,5.137214003
C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],1.029398307
C1=CC(=CC(=C1)[N+](=O)[O-])C=O,5.798585229
C1=CC(=CC=C1[N+](=O)[O-])[N+](=O)[O-],0.684847143
C1=CC=C(C=C1)CCl,5.004551829
C1=CC(=CC=C1NC(=O)NC2=CC(=C(C=C2)Cl)Cl)Cl,0.092074039
C1=CC=C(C=C1)OC2=CC=CC=C2,3.999308183
CCCCCCCCCC1=CC=C(C=C1)O,0.269844055
C1=CC(=CC=C1C=O)Cl,2.202226318
CCCCOC(=O)CCCCC(=O)OCCCC,3.640899287
C1=CC(=CC=C1Br)Br,1.226670838
C1=CC(=CC=C1O)Cl,4.467576327
CC(C)COC(=O)C=C,2.097892333
C=CC=O,0.027018
C=CCO,0.319909257
CCOP(=O)(OCC)OP(=O)(OCC)OCC,1.30521586
C1=CC=C(C=C1)Br,5.596639246
C(CBr)CBr,1.791079273
CC(C)(C)SSC(C)(C)C,1.368973527
CCOC(=O)CCCCCCCCC(=O)OCC,2.730289292
CCCCCC,2.502685571
CCCCCCBr,3.448802711
CCCCCCCCBr,0.837196401
CCCCCCCCN,5.192745635
CCCCCCCCCC(=O)C,1.500338817
CCCCCCCCCCCO,1.040664123
CCCCCCCCCCCCO,1.009910724
C1C2C(COS(=O)O1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,0.001335019
C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)(C(Cl)(Cl)Cl)O)Cl,0.510255991
C1=CC=C2C(=C1)C(=O)C(=C(C2=O)Cl)Cl,0.15000391
C1=CC=C(C=C1)OC(=O)C2=CC=CC=C2O,1.13464503
C1=C(C=C(C(=C1Br)O)Br)Br,6.524775913
CCCCCCCCS(=O)C(C)CC1=CC2=C(C=C1)OCO2,0.739970662
C1=CC=C(C(=C1)O)O,5.686258023
